byggnr,dato,aapent_fra,aapent_til,kommentar
2,2016-03-19,00:00,00:00,lørdag
2,2016-03-20,00:00,00:00,søndag
2,2016-03-21,07:40,15:30,
2,2016-03-22,07:40,15:30,
2,2016-03-23,07:40,15:30,
2,2016-03-24,00:00,00:00,Skjærtorsdag. Stengt
2,2016-03-25,00:00,00:00,Langfredag. Stengt
2,2016-03-26,00:00,00:00,lørdag
2,2016-03-27,00:00,00:00,søndag
2,2016-03-28,00:00,00:00,2. Påskedag. Stengt
2,2016-03-29,07:40,15:30,
2,2016-03-30,07:40,15:30,
2,2016-03-31,07:40,17:00,
2,2016-04-01,07:40,15:30,
2,2016-04-02,00:00,00:00,lørdag
2,2016-04-03,00:00,00:00,søndag
2,2016-04-04,07:40,15:30,
2,2016-04-05,07:40,15:30,
2,2016-04-06,07:40,15:30,
2,2016-04-07,07:40,17:00,
2,2016-04-08,07:40,15:30,
2,2016-04-09,00:00,00:00,lørdag
2,2016-04-10,00:00,00:00,søndag
2,2016-04-11,07:40,15:30,
2,2016-04-12,07:40,15:30,
2,2016-04-13,07:40,15:30,
2,2016-04-14,07:40,17:00,
2,2016-04-15,07:40,15:30,
2,2016-04-16,00:00,00:00,lørdag
2,2016-04-17,00:00,00:00,søndag
2,2016-04-18,07:40,15:30,
2,2016-04-19,07:40,15:30,
2,2016-04-20,07:40,15:30,
2,2016-04-21,07:40,17:00,
2,2016-04-22,07:40,15:30,
2,2016-04-23,00:00,00:00,lørdag
2,2016-04-24,00:00,00:00,søndag
2,2016-04-25,07:40,15:30,
2,2016-04-26,07:40,15:30,
2,2016-04-27,07:40,15:30,
2,2016-04-28,07:40,17:00,
2,2016-04-29,07:40,15:30,
2,2016-04-30,00:00,00:00,lørdag
2,2016-05-01,00:00,00:00,søndag
2,2016-05-02,07:40,15:30,
2,2016-05-03,07:40,15:30,
2,2016-05-04,07:40,15:30,
2,2016-05-05,00:00,00:00,Kristi Himmelfartsdag. Stengt
2,2016-05-06,07:40,15:30,
2,2016-05-07,00:00,00:00,lørdag
2,2016-05-08,00:00,00:00,søndag
2,2016-05-09,07:40,15:30,
2,2016-05-10,07:40,15:30,
2,2016-05-11,07:40,15:30,
2,2016-05-12,07:40,17:00,
2,2016-05-13,07:40,15:30,
2,2016-05-14,00:00,00:00,lørdag
2,2016-05-15,00:00,00:00,søndag
2,2016-05-16,00:00,00:00,2. Pinsedag. Stengt
2,2016-05-17,00:00,00:00,17. mai. Stengt 
2,2016-05-18,07:40,15:30,
2,2016-05-19,07:40,17:00,
2,2016-05-20,07:40,15:30,
2,2016-05-21,00:00,00:00,lørdag
2,2016-05-22,00:00,00:00,søndag
2,2016-05-23,07:40,15:30,
2,2016-05-24,07:40,15:30,
2,2016-05-25,07:40,15:30,
2,2016-05-26,07:40,17:00,
2,2016-05-27,07:40,15:30,
2,2016-05-28,00:00,00:00,lørdag
2,2016-05-29,00:00,00:00,søndag
2,2016-05-30,07:40,15:30,
2,2016-05-31,07:40,15:30,
2,2016-06-01,07:40,15:30,
2,2016-06-02,07:40,17:00,
2,2016-06-03,07:40,15:30,
2,2016-06-04,00:00,00:00,lørdag
2,2016-06-05,00:00,00:00,søndag
2,2016-06-06,07:40,15:30,
2,2016-06-07,07:40,15:30,
2,2016-06-08,07:40,15:30,
2,2016-06-09,07:40,17:00,
2,2016-06-10,07:40,15:30,
2,2016-06-11,00:00,00:00,lørdag
2,2016-06-12,00:00,00:00,søndag
2,2016-06-13,07:40,15:30,
2,2016-06-14,07:40,15:30,
2,2016-06-15,07:40,15:30,
2,2016-06-16,07:40,17:00,
2,2016-06-17,07:40,15:30,
2,2016-06-18,00:00,00:00,lørdag
2,2016-06-19,00:00,00:00,søndag
2,2016-06-20,07:40,15:30,
2,2016-06-21,07:40,15:30,
2,2016-06-22,07:40,15:30,
2,2016-06-23,07:40,17:00,
2,2016-06-24,07:40,15:30,
